-11	DRAWING	TITLE	FIND	STRIKE
2	1006755-79	CAPACITOR, FIXED	30	
1	1010406-7	COIL, RF, CHOKE	29	
X	1006162	SCHEMATIC	REF	
X	1003525	WIRING DIAGRAM	REF	
2	1004546-3	WASHER, FLAT	28	
2	MS16633-4015	RING, RETAINING, EXTERNAL “E”	27	
AR	1006879	COMPOUND, THERMOCONDUCTIVE	26	
1	1006750-56	RESISTOR, FIXED FILM INS	25	
AR	1006776-22	INSULATION, SLEEVING	24	
2	MS171432	PIN, SPRING	23	
2	1004207	DRIVE CYLINDER, EJECT SCR	22	X
2	1004546-1	WASHER, FLAT	21	
2	1004579-1	SCREW, JACKING	20	
4	1006783-10	SCREW, BUTTON HEAD	19	
1	1004541	COVER	18	
AR	1006757-8	WIRE, ELECTRICAL .020 DIA	17	
AR	1006757-1	WIRE, ELECTRICAL, .010 X .020	16	
5	1006759	TRANSISTOR, SILICON TYPE NPN	15	
14	1006753	TRANSISTOR, SILICON TYPE PNP	14	
9	1006752	TRANSISTOR, SILICON TYPE NPN	13	
46	1006751	SEMICONDUCTOR DEVICE, DIODE	12	
39	1006750-39	RESISTOR, FIXED FILM INS	11	
10	1006750-15	RESISTOR, FIXED FILM INS	10	
1	1004536-2	INSULATOR	9	
1	1004536-1	INSULATOR	8	
1	1004535-2	INSULATOR	7	
1	1004535-1	INSULATOR	6	
1	1003523-3	500 MATRIX ASSY	5	
1	1003523-2	500 MATRIX ASSY	4	
1	1003523-1	500 MATRIX ASSY	3	
1	1004155	BLOCK, COMPONENT	2	
1	1003536	HEADER ASSY	1	
