-11	DRAWING	TITLE	FIND
1	1010711-1	SPLICE, ELECTRICAL	4
AR	SEE DRAWING NOTE 4	WIRE PVC INSULATED, WHITE	3
25	1010738-5	CONTACT PIN ELECTRICAL	2
1	1008569-002	CONNECTOR, PLUG, ELECT., REWORKED	1
			
		PROOFED	
