-11	DRAWING	TITLE	FIND
X	2005010	SCHEMATIC	REF
			
AR	1006757-21	WIRE, ELECTRICAL	70
1	2004928	SLEEVE, THERMAL	69
1	1006755-126	CAPACITOR	68
1	1006755-79	CAPACITOR	67
AR	1006757-13	WIRE, ELECTRICAL	66
AR	1006757-23	WIRE, ELECTRICAL	65
3	2004039	TERMINAL, THREADED	64
AR	1006776-22	INSULATION, SLEEVING	63
AR	1006776-20	INSULATION, SLEEVING	62
AR	1006776-18	INSULATION, SLEEVING	61
			60
			59
			58
			57
			56
AR	QQ-W-343, TYPE S, 18	WIRE, ELECTRICAL	55
AR	QQ-W-343, TYPE S, 16	WIRE, ELECTRICAL	54
3	1008071-2	WASHER, FLAT	53
2	2008013-5	TERMINAL, LUG	52
3	MS20364B1032	NUT, HEX, SELF-LOCKING	51
3	1008025-5	BUSHING, INSULATOR	50
3	1008024-1	WASHER, INSULATOR	49
6	1008024-2	WASHER, INSULATOR	48
1	MS20364B-524	NUT, HEX, SELF-LOCKING	47
1	1008071-7	WASHER, FLAT	46
1	2008020-3	BUSHING, INSULATOR	45
1	1008024-6	WASHER, INSULATOR	44
2	1008024-5	WASHER, INSULATOR	43
3	NAS620C6L	WASHER, FLAT	42
6	1008024-7	WASHER, INSULATOR	41
3	MS20364-632	NUT, HEX, SELF-LOCKING	40
3	2008020-4	INSULATOR, BUSHING	39
3	1006336-002	HEATSINK, TRANSISTOR	38
17	1006708	TERMINAL, STUD	37
1	1004722-2	SCREW, CAPTIVE	36
4	MS16633-4015	RING RETAINING EXTERNAL “E”	35
5	1004546-3	WASHER, FLAT	34
4	1004546-1	WASHER, FLAT	33
4	1004579-1	SCREW, JACKING	32
1	1006328	INDUCTOR	31
3	1006327	INDUCTOR	30
1	1006304-002	RELAY	29
1	2004004-002	TRANSISTOR, POTTED	28
1	1006363-001	TRANSISTOR	27
2	2004004-001	TRANSISTOR, POTTED	26
1	1006317	TRANSISTOR	25
3	2004004-004	TRANSISTOR	24
2	1006329	DIODE	23
1	2004112-001	DIODE	22
2	2004103-001	DIODE	21
9	1006755-134	CAPACITOR	20
6	1006755-89	CAPACITOR	19
2	1006330-001	RESISTOR	18
1	1010604-50	RESISTOR	17
1	1010389-23	RESISTOR	16
1	1010389-113	RESISTOR	15
1	1010389-51	RESISTOR	14
1	1006750-56	RESISTOR	13
2	1006750-43	RESISTOR	12
1	1006750-39	RESISTOR	11
2	1006750-15	RESISTOR	10
1	1006750-15	RESISTOR	9
1	SEE NOTE 27	RESISTOR	8
1	SEE NOTE 27	RESISTOR	7
1	2004079	INSULATOR D	6
1	2004078	INSULATOR C	5
1	2004081-011	INSULATOR B	4
1	2004080-011	INSULATOR A	3
1	2003029-011	CONTROL CIRCUIT SUB-ASSY	2
1	2003057-011	HEADER HOUSING ASSY	1
