0	TITLE	DRAWING	FIND
6	CLAMP, RESOLVER	1000094	5
AR	ADH. GOODYEAR CPA923A	MIL-A-13883	4
6	SCR, BUT, HD, SELF LOCK, SOC, SPL	1000250-13	3
1	RSVR, PITCH YAW	1000031-2	2
1	RSVR, ONE SPEED XMTR	1000030	1
			
		PROOFED	
