-11	DRAWING	TITLE	FIND	STRIKE
X	1009507	SCHEMATIC	REF	
				
AR	1010848-2	WIRE, ELECTRICAL – NICKEL	28	
AR	1006776-21	INSULATION SLEEVING	27	
3	1008540-11	GASKET, CONNECTOR, MINIATURE	26	
1	1008540-8	GASKET, CONNECTOR, MINIATURE	25	
6	1010759	TRANSFORMER	24	
6	1010342	TRANSISTOR	23	
1	1010829-13	DIODE	22	
6	1010359-29	CAPACITOR	21	
1	1006755-84	CAPACITOR	20	
12	1006755-69	CAPACITOR	19	
6	1010374-29	RESISTOR	18	
6	1010374-1	RESISTOR	17	
6	1010364-765	RESISTOR	16	
6	1010364-719	RESISTOR	15	
6	1006750-51	RESISTOR	14	
1	1006750-26	RESISTOR	13	
AR	1006776-22	INSULATION SLEEVING	12	X
AR	1006776-20	INSULATION SLEEVING	11	
AR	1006757-8	WIRE, ELECTRICAL .020 DIA	10	X
AR	1006757-1	WIRE, ELECTRICAL .010 X .020	9	
2	1010485-98	SCREW, FILLISTER HD	8	
8	1008161-3	SCREW, CAP SLOTTED HD (SPECIAL)	7	
4	1015135-018	SPACER	6	
41	1006782-5	CONTACT, WRAPOST MALE MIN	5	
41	1006775	INSULATOR, WRAPOST MALE MIN	4	
1	1008557	WIRING BOARD, BOTTOM	3	
1	1008558	WIRING BOARD, TOP	2	
1	1007595	FRAME	1	
				
		PROOFED		
