-21	-11	DRAWING	TITLE	FIND
X		2005106	SCHEMATIC	REF
	X	2005931	SCHEMATIC	REF
				
				
				
AR	AR	1006338-000	SEALING COMPOUND, SILICONE RUBBER	7
AR	AR	1006341	ADHESIVE, SILICONE RUBBER	6
32768	32768	1006786	FERRITE CORE	5
4	4	1000093-2	SCREW, BUTTON HEAD	4
AR	AR	1006711-20	WIRE, ELECTRICAL	3
1	1	2004170	FEED THRU PLATE ASSY	2
1	1	2003110-011	HEADER HOUSING ASSY	1
