-11	0	FIND	DRAWING	TITLE
1		18	2013350-011	DIASTIMETER ASSY
2	2	17	2013424	SCREW, SET, SOCKET
1	1	16	2013340	BUTTON, SWITCH
AR	AR	15	1011541	ADHESIVE, EPOXY
AR	AR	14	1008953-003	COMPOUND, SEALING AND RETAINING
1	1	13	MS16995-1	SCREW, SOCKET HEAD
1	1	12	MS25036-43	LUG, TERMINAL
1	1	11	2013251	PLATE, IDENTIFICATION
1	1	10	2013339	COVER, BATTERY ASSY
6	6	9	MS51959-2	SCREW, FLAT HD.
6	6	8	NAS1352C04LL4	SCREW, CAP HEX SOC HD, SELF LOCKING
1	1	7	2013254	PLATE, BRACKET ASSY
4	4	6	MS16995-10	SCREW, SOCKET HEAD
1	1	5	2013297	BATTERY ENCAPSULATION ASSY (INSEP)
1	1	4	2013400	EYEPIECE ASSY
1	1	3	2013289	STRAP, ASSY OF (INSEP)
1	1	2	2013275	TELESCOPE ASSY
	1	1	2013350-000	DIASTIMETER ASSY
				
				PROOFED
