FIND	-11	DRAWING	TITLE
14	2	2012118	GROMMET, HALF
13	AR	1010490-060	INSULATION-SLEEVING, ELECTRICAL, HEAT SHRINKABLE
12			
11	6	NAS1352C04LL10	SCREW, CAP, SOCKET HEAD, SELF-LOCKING
10	8	NAS1352C02LL6	SCREW, CAP, SOCKET HEAD, SELF-LOCKING
9	2	NAS1352C02LL4	SCREW, CAP, SOCKET HEAD, SELF-LOCKING
8	1	1012146-3	CONNECTOR, ELECTRICAL (J7)
7	1	2011343	PLATE, STRAP
6	1	2011335	PLATE, COVER, LAMP
5	1	2011563	LAMP & PLATE, ASSY OF
4	1	2011327	RETAINER, STATOR
3	1	1012066	RESOLVER, 16&1 SPEED TRANSMITTER (STATOR) B4,B5
2	1	2011638-1 THRU -3	SPACER, STATOR
1	1	2011325	HOUSING, STATOR
			
			PROOFED
