FIND	0	DRAWING	TITLE
19	3	NAS1352CO2LL3	SCREW, CAP, HEX SOC HD, SELF LOCKING
18	4	NAS1352CO2LL4	SCREW, CAP, HEX SOC HD, SELF LOCKING
17	3	NAS1352CO4LL4	SCREW, CAP, HEX SOC HD, SELF LOCKING
16	1	MS16995-10	SCREW, CAP, HEX SOC HD
15	7	1011625-28	SCREW, CAP, HEX SOC HD, SELF LOCKING
14	4	-59	SCREW, CAP, HEX SOC HD, SELF LOCKING
13	1	1000093-13	SCREW, BUTTON HEAD SOC,SELF-LOCKING
12	1	6011059	KNOB, RETICLE CONTROL
11	1	6011826	ADAPTER & LENS HOUSING ASSY
10	1	6011056	PLATE, COVER
9	1	6011084	COVER, COUNTER
8	1	6011122	WINDOW, COUNTER
7	3	6011046	CLAMP, COUNTER
6	1	1012524	COUNTER, ROTATING, FIXED MTG, ANGLE
5	1	6011048	PLATE, COUNTER MOUNTING
4	1	6011820	HOUSING, WORM & GEAR, ASSY OF
3	1	6011110	SHIELD, REFLECTOR
2	1	6011812	HOUSING, LAMP, ASSY OF
1	1	6011807	MIRROR HOUSING & WINDOW, ASSY OF
			
			PROOFED
