-81	-39	-42	-38	-71	-62	-37	-36	-61	-51	-35	-34	-33	-24	-23	-12	-2	-41	-22	-32	-30	-1	-31	-21	-11	0	FIND	DRAWING	TITLE	STRIKE
X	X	X	X	X	X	X	X	X	X	X	X	X					X		X			X				REF	2012741	SCHEMATIC DIAGRAM SEXTANT	
																				X						REF	2012732	SCHEMATIC DIAGRAM SEXTANT (?)	
													X	X	X	X		X			X		X	X	X	REF	2012391	SCHEMATIC DIAGRAM SEXTANT (?)	
X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	REF	2012390	SCHEMATIC DIAGRAM, SCANNING TELESCOPE	
																													
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	36	2012547-011	COVER & BAFFLE ASSY (SCT)	
0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	35	2011890-021	OPTICAL UNIT SUBASSY STAGE II	
0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	34	2012736-000	OPTICAL UNIT SUBASSY STAGE II	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	33	1004260-300	NAMEPLATE	
																										32			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	31	NAS1352C02LL3	SCREW, CAP, HEX SOC HD	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	30	2012608	SHIM, FOCUSING	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	29	2011890-011	OPTICAL UNIT SUBASSY STAGE II	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	28	2012573	SHIM, FOCUSING AIR (SXT)	
																										27			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	2012730-011	OPTICAL UNIT SUBASSY STAGE II	
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	25	NAS1352C04-6	SCREW, CAP, HEX SOC HD, SELF LOCKING	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24	2011732	LENS TELESCOPE RELAY, ASSY OF	
