FIND	0	DRAWING	TITLE
1	20' 4.25"	1010416-1	WIRE, MIL-W-16878E28, 28 AWG, BLK
2	11' 11.12"	1010416-3	WIRE, MIL-W-16878E28, 28 AWG, RED
3	8' 9.66"	1010416-9	WIRE, MIL-W-16878E28, 28 AWG, GY
4	7' 3.25"	1010416-8	WIRE, MIL-W-16878E28, 28 AWG, VIO
5	5' 6.75"	1010416-7	WIRE, MIL-W-16878E28, 28 AWG, BLU
6	6' 10.25"	1010416-4	WIRE, MIL-W-16878E28, 28 AWG, ORN
7	29' 7.13"	1010416-6	WIRE, MIL-W-16878E28, 28 AWG, GRN
8	22' 4.75"	1010416-5	WIRE, MIL-W-16878E28, 28 AWG, YEL
9	4' 11.88"	1010416-10	WIRE, MIL-W-16878E28, 28 AWG, WHT
10	2' 6.75"	1010416-2	WIRE, MIL-W-16878E28, 28 AWG, BRN
11	9' 8.77"	1010778-1	WIRE, SHIELDED, 28 AWG, 1 COND
12	10' 7.5"	1010778-2	WIRE, SHIELDED, 28 AWG, 2 COND
13	1' 4"	1010778-3	WIRE, SHIELDED, 28 AWG, 3 COND
14	3	1000121	CONNECTOR, RECEPTACLE
15	3	1000122	CONNECTOR, RECEPTACLE
16	3	1010318-1	CONNECTOR, PLUG
17	1	1010472-1	CONNECTOR, PLUG
18	2	1000120	CONNECTOR, PLUG
19	6.62"	1001474-11	SHIELD-WIRE, QQ-B-575, (7/64 I D 36 AWG)
20	9"	1001474-12	SHIELD-WIRE, QQ-B-575, (7/64 I D 36 AWG)
21	4.62" (2)	1001474-13	SHIELD-WIRE, QQ-B-575, (7/64 I D 36 AWG)
22	18.50"	1001474-14	SHIELD-WIRE, QQ-B-575, (7/64 I D 36 AWG)
23	4.12"	1001474-15	SHIELD-WIRE, QQ-B-575, (7/64 I D 36 AWG)
24	55"	1010490-983	SLEEVING – HEAT SHRINK, WHT
25	7	1010490-112	SLEEVING – HEAT SHRINK
26	7	1010490-058	SLEEVING – HEAT SHRINK
27	9	1010490-084	SLEEVING – HEAT SHRINK
28	12	1000243-5	FERRULE,"NER
29			
30	130	1006776-18	INSULATION, SLEEVING .31 LG
31	49	1006776-14	INSULATION, SLEEVING .31 LG
32	8	1010717-1	TERMINAL LUG
33	1	1000267	BRACKET
34	1	1000226	BRACKET
35	1	1000149	BRACKET
36	AR	QQ-S-571 SN60WARP2	SOLDER
37	AR	MIL-T-713 TYPE P CLASS 2 BLACK	TAPE, NYLON, WAXED
38	9	1010490-082	SLEEVING, HEAT SHRINK
39	24	1010490-080	SLEEVING, HEAT SHRINK
			
			PROOFED
