-11	DRAWING	TITLE	FIND
X	2010014	SCHEMATIC	REF
			
AR	1010848-2	WIRE, ELECTRICAL, NICKEL	42
1	1008256	PIN, POLARIZING	41
2	1010652-1	TRANSISTOR	40
2	1010357-1	TRANSISTOR	39
6	1010342	TRANSISTOR	38
2	1010830-7	DIODE	37
12	1010385	DIODE	36
4	1010279-124	CAPACITOR	35
2	1010279-13	CAPACITOR	34
2	1006755-75	CAPACITOR	33
2	1006755-33	CAPACITOR	32
			31
2	1010389-56	RESISTOR	30
4	1010369-93	RESISTOR	29
4	1010369-89	RESISTOR	28
2	1010969-126	RESISTOR	27
2	1006750-80	RESISTOR	26
2	1006750-72	RESISTOR	25
4	1006750-76	RESISTOR	24
2	1006750-74	RESISTOR	23
2	100675-75	RESISTOR	22
4	100675-68	RESISTOR	21
2	100675-64	RESISTOR	20
			19
6	1006750-56	RESISTOR	18
2	1006750-49	RESISTOR	17
2	1006750-46	RESISTOR	16
2	1006750-16	RESISTOR	15
			14
AR	1006776-21	INSULATION SLEEVING	13
AR	1006776-20	INSULATION SLEEVING	12
			11
AR	1006757-1	WIRE, ELECTRICAL	10
2	1008540-7	GASKET, CONNECTOR MINIATURE	9
1	2008093-000	TERMINAL, THREADED	8
6	1008161-3	SCREW, CAP SLOTTED HD SPECIAL	7
3	1015135-18	SPACER, INSULATED	6
14	1006782-5	CONTACT, WRAPOST MALE MINIATURE	5
14	1006775	INSULATOR, WRAPOST MALE MINIATURE	4
1	2008366	WIRING BOARD BOTTOM	3
1	2008368	WIRING BOARD TOP	2
1	2008191	FRAME	1
