-11	0	FIND	DRAWING	TITLE	STRIKE
1	0	14	2012695-021	MIRROR HOUSING & HEATER ASSY	
2	0	13	2012747-001	INSERT, THREADED	
2	2	12	2012162	MIRROR HOUSING & HEATER ASSY	
1	1	11	2012124	PLUG	
3	3	10	NAS1352C02LL4	SCREW, CAP, HEX SOC HD, SELF-LOCKING	
1	1	9	2012777	COVER, HEATER SXT EYEPIECE	
3	3	8	NAS1352C02LL3	SCREW, CAP, HEX SOC HD, SELF-LOCKING	
1	1	7	2012787	CAP AND TERMINAL ASSY	
2	2	6	2011685	WASHER, WAVE	
1	1	5	2011794	HOLDER AND LENS, ASSY OF	
1	1	4	2011665	RING, SPACER	
1	1	3	2011667	RING, LOCKING	
1	1	2	2011781	LENS, ASSY OF	
1	1	1	2012695-011	MIRROR HOUSING AND HEATER, ASSY OF	
					
X	X	REF	X	PROOFED	X
