-21	-11	DRAWING	TITLE	FIND
AR	AR	1008985	GREASE, FLOURINATED	14
1		2007270-021	HEADER ASSEMBLY	13
1	1	1004260-198	NAMEPLATE	12
23	23	2004148-003	WASHER, FLAT	11
1	1	2008529	COVER PLATE	10
23	23	1006783-19	SCREW, BUTTON HEAD, HEX SOCKET	9
8	8	2008033-1	WASHER, THRUST	8
8	8	1010977-001	SCREW, CAP, HEX SOCKET HEAD	7
1	1	2008538	COVER	6
1	1	2007233-011	DAC PIPA TEMP AND 2.5V BIAS SIG COND	5
1	1	2007230-011	GIMBAL RESOLVER SIG COND	4
1	1	2007231-011	IRIG AND PIPA SIG COND	3
1	1	2007244-011	120V PIPA SUPPLY SIG COND	2
	1	2007270-011	HEADER ASSEMBLY	1
