-11	0	TITLE	DRAWING	FIND	NOTE
AR	AR	WIRE AWG 30	1006711-13	19	
AR	AR	FIBER SHEET	MIL-I-695A .007 GRAY TYPE F 250V/MIL	18	
X	X	SCHEMATIC	1001533	REF	
X	X	WIRING ASSEMBLY	1001535	REF	
1	1	RESISTOR, SAT	1010693	17	PER ATP 1000285 300K TO 1MEGOHM
1	1	RESISTOR, SAT	1010604	16	PER ATP 1000285 1OHM TO 10OHMS
1	1	RESISTOR, SAT	1010694	15	PER ATP 1000285 2K TO 8K OHMS
1	1	RESISTOR, SAT	1010694	14	PER ATP 1000285 10K TO 24.9K OHMS
1	1	RESISTOR, SAT	1010694	13	PER ATP 1000285 15K TO 24.9K OHMS
1	1	CAPACITOR, SAT	1006789	12	PER ATP 1000285 20 TO 140UF
5	5	DIODE, 500PIV	1010497	11	3.4W
1	1	RESISTOR, SAT	1010694	10	PER ATP 1000285 15K TO 24.9K OHMS
1	1	RESISTOR, SAT	1010694	9	PER ATP 1000285 40.2K TO 121K OHMS
1	1	TRANSFORMER	1001532	8	
1	1	REACTOR	1001531	7	
1	1	REACTOR	1001530	6	
1	1	REACTOR ASSY	1001528	5	
1	1	PRINTED-CIRCUIT ASSY	1001541	4	
1	1	CASE ASSY	1001537	3	
1	1	COVER ASSY	1001534	2	
1	1	PLATE-IDENTIFICATION	1001543	1	
					
		PROOFED			
