-11	FIND	DRAWING	TITLE
16	17	MS21045CO4	(7875739-026) NUT, SELF-LOCKING
12	16	NAS1352CO4-6	(1897014-014) SCREW, CAP
2	15	1010785-8	PACKING, PREFORMED
2	14	2014760	SCREW, CAPTIVE – SOC. HD, CAP
10	13	AN960C10L	(7875739-158) WASHER, FLAT
1	12	2010789-011	CASE AND COVER ASSEMBLY
1	11	2021228	COVER, CONNECTOR
1	10	1004260-199	NAMEPLATE
8	9	1001488-45	SCREW, SOCKET HEAD
4	8	MS51957-15	SCREW, PAN HD, CROSS-RECESS
4	7	1011918-3	WASHER, CABLE CLAMP
3	6	1000220-15	CLAMP, CABLE
1	5	1000220-3	CLAMP, CABLE
4	4	MS51957-45	SCREW, PAN HEAD
1	3	2021219	BRACKET, CONNECTOR
1	2	2021221	BRACKET, SUPPORT – RIGHT HD. (INSEP ASSY)
1	1	2021220	BRACKET, SUPPORT – LEFT HD. (INSEP ASSY)
			
			PROOFED
