-11	DRAWING	TITLE	FIND
X	1006163	SCHEMATIC, ELECTRICAL	REF
			
1	1006755-134	CAPACITOR, FIXED, TANTALUM	26
1	1010406-7	COIL, RF CHOKE	25
2	1004817	PIN, LOCATING	24
2	MS15795-308	WASHER	23
4	MS15795-303	WASHER, FLAT	22
4.3	1006776-22	INSULATION, SLEEVING	21
4.7	1006757-13	WIRE, ELECTRICAL	20
2	1010291-4	TRANSFORMER, AUDIO	19
1	1006726	SATURABLE REACTOR	18
4	1006751	SEMICONDUCTOR DEVICE, DIODE	17
1	1010269-2	TRANSISTOR, 2 AMP SILICON	16
1	1010376-1	TRANSISTOR, SILICON	15
1	1006793-19	CAPACITOR, FIXED, GLASS DIELECTRIC	14
1	SEE NOTE 18	RESISTOR, FIXED FILM	13
1	SEE NOTE 20	RESISTOR, FIXED FILM	12
2	1010477-12	SCREW, FLAT	11
4	MS16995-9	SCREW, SOCKET HEAD	10
2	1004592	SPRING, CUP	9
2	MS35337-79	WASHER, LOCK	8
2	1004546-2	WASHER, FLAT	7
2	MS24585-32	SPRING, COIL	6
2	1004583	SCREW, CAPTIVE	5
1	1004595	INSULATOR, FRONT	4
1	1004594	INSULATOR, BACK	3
1	1003450	CONNECTOR PLATE ASSEMBLY	2
1	1004577	HOUSING	1
