-11	DRAWING	TITLE	FIND	STRIKE
X	2010059	SCHEMATIC	REF	
				
AR	1010848-2	WIRE, ELECTRICAL	37	
36	2008319	INSULATOR, WASHER	36	
10	1008161-4	SCREW, CAP SLOTTED HEAD	35	
1	2008093-001	TERMINAL, THREADED	34	
AR	1006776-21	INSULATION, SLEEVING	33	
6	2007144	AMPLIFIER, OPERATIONAL	32	
36	1010343-3	TRANSISTOR	31	
18	1010385	DIODE	30	
18	1006755-79	CAPACITOR	29	
6	1006755-14	CAPACITOR	28	
2	1010733-12	RESISTOR	27	
2	1010377-313	RESISTOR	26	
2	1010377-311	RESISTOR	25	
2	1010377-310	RESISTOR	24	
4	1010377-309	RESISTOR	23	
2	1010377-308	RESISTOR	22	
16	1010377-307	RESISTOR	21	
2	1010377-306	RESISTOR	20	
2	1010377-346	RESISTOR	19	
18	1006750-60	RESISTOR	18	
18	1006750-56	RESISTOR	17	
18	1006750-44	RESISTOR	16	
18	1006750-36	RESISTOR	15	
2	1006750-3	RESISTOR	14	
			13	
AR	1006757-1	WIRE, ELECTRICAL	12	
			11	
18	1008025-1	INSULATOR, BUSHING	10	
1	2008312	WIRING BOARD (D)	9	
1	2008310	WIRING BOARD (C)	8	
1	2008308	WIRING BOARD (B)	7	
1	2008306	WIRING BOARD (A)	6	
2	MS16633-4015	RING, RETAINING, EXTERNAL “E”	5	
2	1004546-3	WASHER, FLAT	4	
2	1004546-1	WASHER, FLAT	3	
2	1004579-1	SCREW, JACKING	2	
1	2007207-011	HEADER HOUSING ASSEMBLY	1	
				
X	X	PROOFED	REF	X
