-11	DRAWING	TITLE	FIND	STRIKE
2	AN122691	PIN, DOWEL	4	X
4	MS21209-CO415	INSERT, HELICAL	3	
1	MS21209-CO815	INSERT, HELICAL	2	
1	1004577-1	HOUSING	1	
				
		PROOFED		
