-41	-31	-21	-11	DRAWING	TITLE	FIND
27				2004301-001	DUAL NOR GATE	10
1	1			2007100-291	MATRIX ASSEMBLY	9
2	2	2	2	2008382	SUPPORT BLOCK	8
		1		2007100-231	MATRIX ASSEMBLY	7
			1	2007100-091	MATRIX ASSEMBLY	6
AR	AR	AR	AR	1006806-6	INSULATION TAPE, ELECTRICAL	5
1	1	1	1	2007082-011	CONNECTOR A, HEADER/MATRIX	4
1	1	1	1	2003021-001	GROUND BUSS	3
	27	27	27	1004301-001	DUAL NOR GATE	2
1	1	1	1	2004031	BOARD, MATRIX SUPPORT	1
