-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
1			SEE NOTE 21	RESISTOR	71	
	X		2010792	SCHEMATIC	REF	
	1		2010796	WIRING BOARD D	70	
	2		1010365	TRANSFORMER	69	
1	1	1	2010677	WIRING BOARD F	68	
1	1	1	2010675	WIRING BOARD E	67	
1	1	1	2010673	WIRING BOARD C	66	
1	1	1	2010671	WIRING BOARD A	65	
X		X	2010030	SCHEMATIC	REF	
AR	AR	AR	1010848-2	WIRE, ELECTRICAL	64	
24	24	24	2008319	INSULATOR WASHER	63	
12	12	12	1008161-4	SCREW, CAP, SLOTTED HEAD	62	
1	1	1	2008093-003	TERMINAL, THREADED	61	
AR	AR	AR	1006776-21	INSULATION, SLEEVING	60	
1	1	1	1006755-85	CAPACITOR	59	
1	1	1	1008815-9	DIODE, ZENER	58	
1	1	1	1010604-47	RESISTOR	57	
1	1	1	2007144-011	AMPLIFIER, OPERATIONAL	56	
3	3	3	1010725	TRANSFORMER	55	
2		2	1010274	TRANSFORMER	54	
2	2	2	1010652-1	TRANSISTOR	53	
24	24	24	1010343-3	TRANSISTOR	52	
2	2	2	1010342	TRANSISTOR	51	
4	4	4	1010966-1	TRANSISTOR	50	
14	14	14	1010385	DIODE	49	
1	1	1	1010372-13	DIODE	48	
3	3	3	1008815-7	DIODE, ZENER	47	
1	1	1	1006755-79	CAPACITOR	46	
12	12	12	1006755-73	CAPACITOR	45	
2	2	2	1006755-69	CAPACITOR	44	
3	3	3	1006755-33	CAPACITOR	43	
2	2	2	1006755-31	CAPACITOR	42	
2	2	2	1006755-14	CAPACITOR	41	
2	2	2	1010733-117	RESISTOR	40	
1	1	1	1010733-104	RESISTOR	39	
1	1	1	1010733-103	RESISTOR	38	
1	1	1	1010733-102	RESISTOR	37	
1	1	1	1010733-101	RESISTOR	36	
1	1	1	1010733-17	RESISTOR	35	
1	1	1	1010733-12	RESISTOR	34	
5	5	5	1010733-10	RESISTOR	33	
4	4	4	1010733-8	RESISTOR	32	
1	1	1	1010604-39	RESISTOR	31	
1	1	1	1006750-84	RESISTOR	30	
3	3	3	1006750-76	RESISTOR	29	
1	1	1	1006750-75	RESISTOR	28	
1	1	1	1006750-74	RESISTOR	27	
1	1	1	1006750-73	RESISTOR	26	
1	1	1	1006750-66	RESISTOR	25	
	1	1	1006750-51	RESISTOR	24	
2	2	2	1006750-63	RESISTOR	23	
12	12	12	1006750-60	RESISTOR	22	
3	3	3	1006750-56	RESISTOR	21	
17	17	17	1006750-49	RESISTOR	20	
3	3	3	1006750-48	RESISTOR	19	
12	12	12	1006750-44	RESISTOR	18	
1	1	1	1006750-39	RESISTOR	17	
12	12	12	1006750-36	RESISTOR	16	
6	6	6	1006750-32	RESISTOR	15	
2	2	2	1006750-2	RESISTOR	14	
					13	
AR	AR	AR	1006757-1	WIRE, ELECTRICAL	12	
					11	
20	20	20	1008025-1	INSULATOR, BUSHING	10	
1		1	2008326	WIRING BOARD D	9	
1	1	1	2008324	WIRING BOARD C	8	X
1	1	1	2008322	WIRING BOARD B	7	
1	1	1	2008328	WIRING BOARD A	6	X
2	2	2	MS16633-4015	RING, RETAINING, EXTERNAL, E	5	
2	2	2	1004546-3	WASHER, FLAT	4	
2	2	2	1004546-1	WASHER, FLAT	3	
2	2	2	1004579-1	SCREW, JACKING	2	
1	1	1	2007209-011	HEADER HOUSING ASSY	1	
						
X	X	X	X	PROOFED	REF	X
