-021	-001	-011	-000	FIND	DRAWING	TITLE
1		1		26	1012542-001	HEATER PAD, EYEPIECE HOUSING
30.0 INCHES		30.0 INCHES		25	1010416-37	WIRE, ELECT. STRANDED INSUL.
AR	AR	AR	AR	24	1010878	LUBRICATING OIL, HYDROCARBON
	20.0 INCHES		20.0 INCHES	23	1010416-37	WIRE, ELECT. STRANDED INSUL.
	1		1	22	1012542-000	HEATER PAD, EYEPIECE HOUSING
2	2	2	2	21	1006273-6	SCREW, CAP, BUTTON HD, HEX SOC.
1	1	1	1	20	2012678	PLATE, THERMOSTAT RETAINING
1	1	1	1	19	1012548	THERMOSTAT, FIXED TEMP.
1	1	1	1	18	MS16995-2	SCREW, CAP, HEX SOC HD.
				17		
3	3	3	3	16	NAS1352CO4LL6	SCREW, CAP, HEX SOC HD SELF LOCKING
14	14	14	14	15	NAS1352CO2LL4	SCREW, CAP, HEX SOC HD SELF LOCKING
1	1	1	1	14	2011355-2	CLAMP, COLLAR
1	1	1	1	13	6011054	RING, LOCKING
1	1	1	1	12	MS16624-4031	RING, RETAINING
2	2	2	2	11	6011055	SPACER
2	2	2	2	10	1010356-13	BEARING, BALL, ANNULAR (FLANGED)
1	1	1	1	9	6011035	SHAFT, WORM
1	1	1	1	8	6011108	PLATE, BEARING, RETAINER, OUTER RACE
1	1	1	1	7	6011107	PLATE, BEARING, RETAINER, INNER RACE
1	1	1	1	6	6011109	SPACER, BEARING
1	1	1	1	5	1012518-001	BEARING, BALL, ANNULAR (DUPLEX DB)
1	1	1	1	4	6011859	RETICLE AND HOLDER ASSY
1	1	1	1	3	6011105	GEAR DRIVE, RETICLE
				2		
1	1	1	1	1	6011142	HOUSING WORM AND GEAR
						
						PROOFED
