-11	DRAWING	TITLE	FIND	STRIKE
X	1006534	FLOW DIAGRAM	REF	
AR	1006826-12	TAPE, INSULATION	22	
2	1004546-3	WASHER, FLAT	21	
2	MS16633-4015	RING RETAINING EXTERNAL “E”	20	
6	1004117	PLUG, KEYING	19	X
2	MS39086-100	PIN, SPRINT	18	X
2	1004207	DRIVE, CYLINDER	17	X
2	1004546-1	WASHER, FLAT	16	
2	1004579-1	SCREW, JACKING	15	
AR	1006776-22	INSULATION, SLEEVING	14	
AR	1006757-1	WIRE, ELECTRICAL	13	
AR	1006757-8	WIRE, ELECTRICAL	12	
21	1006762-2	TRANSFORMER	11	
14	1003520-1	TRANSISTOR	10	
14	1006750-39	RESISTOR	9	
14	1006750-49	RESISTOR	8	
21	1006750-24	RESISTOR	7	
21	1006750-1	RESISTOR	6	
1	1004238-4	INSULATOR, MYLAR	5	
1	1004238-3	INSULATOR, MYLAR	4	
1	1004238-2	INSULATOR, MYLAR	3	
1	1004238-1	INSULATOR, MYLAR	2	
1	1003125	HEADER ASSEMBLY	1	
				
X	X	PROOFED	REF	X
