FIND	-11	DRAWING	TITLE
3	1	2012473	RING, LOCKING
2	1	2012472	LENS, POSITIVE (COLLECTOR)
1	1	2012475	HOUSING, CONDENSER LENS (H.S.)
			
			PROOFED
