0	DRAWING	TITLE	FIND
AR	1010661	EPOXY RESIN	17
AR	1010679	ADHESIVE ACTIVATOR	16
2	MS15795-805	WASHER, FLAT	15
2	NAS1352CO6-6	SCREW, CAP, HEX SOC	14
2	MS35249-35	SCREW, FLAT HD, 82 DEGREES	13
1	2899981	NAVIGATION BASE, INSEP ASSY	12
			11
1	1025721	BRACKET, MOUNTING, ACCEL	10
			9
18	1010868-2	RIVET, BLIND – UNIVERSAL HEAD	8
5	NAS1352CO4-4	SCREW, CAP, HEX SOC	7
5	1011918-1	WASHER, CABLE CLAMP	6
1	1000220-19	CLAMP, CABLE	5
4	-5	CLAMP, CABLE	4
1	1025715	CABLE SUPPORT BRACKET, ASSY OF	3
1	1025718	CLAMP MTG PLATE & NUT, ASSY OF	2
1	1025720	CABLE MTG BRACKET, ASSY OF	1
			
		PROOFED	
