-11	DRAWING	TITLE	FIND
2	MS35216-13	SCREW, PAN HD	25
1	1004582 (?)	PLATE, CABLE SUPPORT	24
2	MS15795-303	WASHER, FLAT	23
1	1004630	BRACKET, CABLE SUPPORT	22
95.0	1006737-A3	WIRE, ELECTRICAL SHLD AWG 30	21
300.0	1006737-A2	WIRE, ELECTRICAL SOLID AWG 30	20
200.0	1006737-A1	WIRE, ELECTRICAL, SOLID AWG 26	19
31	1000243-1	FERRULE, ELECTRICAL CONDUCTOR	18
31	1000242-1	FERRULE, ELECTRICAL CONDUCTOR	17
1.5	MIL-I-23053 CLASS 2 BLACK, SIZE NO. 16	SLEEVING	16
1.5	MIL-I-23053 CLASS 2 BLACK, SIZE NO. 10	SLEEVING	15
5	1004546-1	WASHER, FLAT	14
5	1004546-2	WASHER, FLAT	13
5	1004579-2	SCREW, JACKING	12
5	MS16633-4015	RING, RETAINING	11
2	MS18035-1	STRAP CABLE ID	10
0.125	MIL-I-631 TYPE 7, FORM Ua, GRADE A, CLASS I, CATEGORY I, AWG 7/16	SLEEVING	9
0.83	MIL-I-23053 CLASS 2 BLACK, SIZE NO. 4	SLEEVING	8
0.33	MIL-I-23053 CLASS 2 BLACK, SIZE NO. 0	SLEEVING	7
0.09	MIL-I-23053 CLASS 2 BLACK, SIZE NO. 6	SLEEVING	6
244	1010738-1	CONTACT (MALE)	5
1	1006268-1	CONNECTOR, PLUG	4
1	1003542	GASKET & FRAME ASSY	3
1	1003547	CONN PL, WIRE WRAP ASSY (DECODING)	2
1	1003479	CONN PL, WIRE WRAP ASSY (RELAY)	1
			
		PROOFED	
