-11	FIND	DRAWING	TITLE
1	21	1010364-495	RESISTOR
X	REF	1015161	SCHEMATIC DIAGRAM ELECTRICAL
2	20	1008540-11	GASKET - CONNECTOR MINIATURE
1	19	1010264-19	CAPACITOR
4	18	AN500D-2-4	SCREW PAN HD
2	17	1015135-018	SPACER
AR	16	1006776-22	INSULATION SLEEVING
1	15	1010264-28	CAPACITOR
4	14	1010264-34	CAPACITOR
2	13	1010364-443	RESISTOR
2	12	1010364-739	RESISTOR
1	11	1010364-635	RESISTOR
AR	10	1006776-21	INSULATION SLEEVING
AR	9	1006757-1	.010 X .020 NICKEL RIBBON
AR	8	1006787-2	WIRE, FEED THRU
1	7	1015165	WAFER BOARD, LOWER
2	6	AN500D-4-4	SCREW PAN HD
1	5	1015164	WAFER BOARD, UPPER
AR	4	1006776-20	INSULATION SLEEVING
22	3	1006775	INSULATOR, WRAPOST - MALE MINIATURE
22	2	1006782-5	CONTACT, WRAPOST - MALE MINIATURE
1	1	1015163	FRAME
			
			PROOFED
