FIND	0	DRAWING	TITLE
1	38'	1010807-022	WIRE, 26 AWG, WHT
2	63'	1010807-004	WIRE, 28 AWG, WHT
3	1'	1010807-005	WIRE, 24 AWG, WHT
4	14'	1010807-027	WIRE, 26 AWG, RED, WHT
5	4'	1010807-007	WIRE, 24 AWG, RED, WHT
6	14'	1010807-006	WIRE, 28 AWG, RED, WHT
7	1'	1010807-008	WIRE, 28 AWG, BLU, RED, WHT
8	1'	1010807-010	WIRE, 28 AWG, GRN, BLU, WHT
9	13'	1010807-015	WIRE, 28 AWG, RED, WHT, WHT JKT
10	4'	1010807-004	WIRE, 28 AWG, BLU, RED, WHT
11	AR	1006776-99	INSULATION SLEEVING, RED
12	22	1010490-114	INSULATION SLEEVING, HEAT SHRINK
			
			PROOFED
