0	DRAWING	TITLE	FIND
X	1010114	SCHEMATIC	REF
			
AR	1006757-8	WIRE, ELECTRICAL	33
AR	-1	WIRE, ELECTRICAL	32
6	1010397-1	TRANSISTOR	31
6	1010367	TRANSISTOR	30
3	1010712	TRANSFORMER	29
3	1010324	TRANSFORMER	28
3	1010323	TRANSFORMER	27
3	1010364-769	RESISTOR	26
3	-707	RESISTOR	25
6	-653	RESISTOR	24
3	1010311 SEE DRAWING NOTE 10	RESISTOR	23
3	1010311-291	RESISTOR	22
9	-126	RESISTOR	21
3	1006750-68	RESISTOR	20
3	-65	RESISTOR	19
3	-56	RESISTOR	18
6	-39	RESISTOR	17
6	-36	RESISTOR	16
3	1010410 SEE DRAWING NOTE 9	CAPACITOR	15
3	1010410-9	CAPACITOR	14
6	1010279-16	CAPACITOR	13
3	1006755-69	CAPACITOR	12
6	-34	CAPACITOR	11
3	-31	CAPACITOR	10
1	1010779-12	CONNECTOR, RECEPTACLE, ELEC	9
2	1010618-4	SCREW, BUTTON HEAD	8
AR	1006776-22	INSULATION, SLEEVING, ELEC	7
AR	-21	INSULATION, SLEEVING, ELEC	6
8	1008161-2	SCREW, CAP SLOTTED HEAD	5
4	1015235-014	SPACER	4
1	1008211	WIRING BOARD, BOTTOM	3
1	1008210	WIRING BOARD, TOP	2
1	1008205	FRAME	1
			
		PROOFED	
