0	DRAWING	TITLE	FIND
1	1010364-495	RESISTOR	20
1	1010264-19	CAPACITOR	19
4	AN500D-2-4	SCREW, PAN HD	18
2	1015135-018	SPACER	17
AR	1006776-22	INSULATION SLEEVING	16
1	1010264-28	CAPACITOR	15
4	-34	CAPACITOR	14
2	1010364-443	RESISTOR	13
2	-739	RESISTOR	12
1	-635	RESISTOR	11
AR	1006776-21	INSULATION SLEEVING	10
AR	1006757-1	.010 X .020 NICKEL RIBBON	9
AR	1006787-2	WIRE, FEED THRU	8
1	1015165	WAFER BOARD, LOWER	7
2	AN500D-4-4	SCREW, PAN HD	6
1	1015164	WAFER BOARD, UPPER	5
AR	1006776-20	INSULATION SLEEVING	4
22	1006775	INSULATOR, WRAPOST MALE MINIATURE	3
22	1006782-5	CONTACT, WRAPOST – MALE MINIATURE	2
1	1015163	FRAME	1
			
		PROOFED	
