0	DRAWING	TITLE	FIND	STRIKE
X	1008451	WIRING DIAGRAM	REF	
1	1015773	WIRE LIST A A	21	
1	1015772	WIRING HARNESS A	20	
1	1007091	BUFFER RESISTOR ASSY	19	
2	1010620-5	PIN GUIDE	18	
3	MS16995-10	SCREW, CAP, SOCKET HEAD	17	
1	1008099-2	WASHER	16	
1	1008098	SCREW, SOCKET HEAD	15	
1	1001317	RETAINER, JACK SCREW	14	
52	1004206	WASHER, THRUST	13	X
26	MS171433	PIN, SPRING	12	X
26	1004207	DRIVE CYLINDER	11	X
26	1008172	SCREW, JACK	10	X
2	MS21045CO4	NUT, SELF-LOCKING HEX	9	
2	MS16995-11	SCREW, CAP, SOCKET HEAD	8	
1	1010622-1	CONNECTOR, RECEPTACLE	7	
16	MS16556-604	PIN GUIDE	6	
84	1010383-1	INSULATOR, WRAPOST MALE	5	
84	1010382-1	CONTACT, BLADE EDGE CONNECTOR	4	
129	1006781-2	CONTACT, WRAPOST, FEMALE MIN	3	
129	1006774	INSULATOR, WRAPOST, FEMALE MIN	2	
1	1008102	FRAME	1	
				
		PROOFED		
