-81	-71	-61	-51	-41	-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
4	4	4	4	4	4	4	4	1006750-43	RESISTOR	88	
1	1	1	1	1	1	1	1	1006750-8	RESISTOR	87	
1	1	1	1	1	1	1	1	1010369-92	RESISTOR	86	
3	3	3	3	3	3	3	3	1006750-84	RESISTOR	85	
3	3	3	3	3	3	3	3	1010369-105	RESISTOR	84	
1	1	1	1	1	1	1	1	1006750-65	RESISTOR	83	
1	1	1	1	1	1	1	1	1006750-59	RESISTOR	82	
2	2	2	2	2	2	2	2	1006750-2	RESISTOR	81	
1	1	1	1	1	1	1	1	1006750-76	RESISTOR	80	
7	7	7	7	7	7	7	7	1006750-32	RESISTOR	79	
1	1	1	1	1	1	1	1	1010604-39	RESISTOR	78	
1	1	1	1	1	1	1	1	1010604-45	RESISTOR	77	
1	1	1	1	1	1	1	1	1006750-39	RESISTOR	76	
3	3	3	3	3	3	3	3	1006750-73	RESISTOR	75	
6	6	6	6	7	7	7	7	1006750-80	RESISTOR	74	
1	1	1	1	1	1	1	1	1010733-119	RESISTOR	73	
9	9	9	9	9	9	9	9	1006750-49	RESISTOR	72	
2	2	2	2	2	2	2	2	1010733-12	RESISTOR	71	
3	3	3	3	3	3	3	3	1006750-63	RESISTOR	70	
6	6	6	6	6	6	6	6	1010733-11	RESISTOR	69	
2	2	2	2	2	2	2	2	1010377-312	RESISTOR	68	
2	2	2	2	2	2	2	2	1010369-90	RESISTOR	67	
2	2	2	2	2	2	2	2	1010377-347	RESISTOR	66	
2	2	2	2	2	2	2	2	1010377-308	RESISTOR	65	
2	2	2	2	2	2	2	2	1010377-310	RESISTOR	64	
2	2	2	2	2	2	2	2	1010377-311	RESISTOR	63	
2	2	2	2	2	2	2	2	1010377-313	RESISTOR	62	
1	1	1	1	1	1	1	1	1010733-1	RESISTOR	61	
1	1	1	1	1	1	1	1	1010733-2	RESISTOR	60	
1	1	1	1	1	1	1	1	1010733-3	RESISTOR	59	
1	1	1	1	1	1	1	1	1010733-4	RESISTOR	58	
1	1	1	1	1	1	1	1	1010733-5	RESISTOR	57	
1	1	1	1	1	1	1	1	1010733-18	RESISTOR	56	
1	1	1	1	1	1	1	1	1010377-302	RESISTOR	55	
1	1	1	1	1	1	1	1	1010377-303	RESISTOR	54	
1	1	1	1	1	1	1	1	1010733-9	RESISTOR	53	
3	3	3	3	3	3	3	3	1010733-7	RESISTOR	52	
2	2	2	2	2	2	2	2	1010733-6	RESISTOR	51	
1	1	1	1	1	1	1	1	1010377-305	RESISTOR	50	
1	1	1	1	1	1	1	1	1010377-304	RESISTOR	49	
9	9	9	9	9	9	9	9	1006750-44	RESISTOR	48	
8	8	8	8	8	8	8	8	1006750-60	RESISTOR	47	
8	8	8	8	8	8	8	8	1006750-56	RESISTOR	46	
8	8	8	8	8	8	8	8	1006750-36	RESISTOR	45	
3	3	3	3	3	3	3	3	1006755-14	CAPACITOR	44	
1	1	1	1	1	1	1	1	1006777-24	CAPACITOR	43	
