-41	-31	-21	-11	FIND	DRAWING	TITLE	STRIKE
2	2	2	2	54	1008024-2	WASHER, INSULATOR	
20	20	20	20	53	1006775	INSULATOR	
20	20	20	20	52	1006782-5	CONTACT	
2	2	2	2	51	MS20341-416B	NUT	
2	2	2	2	50	MS20341-10B	NUT	
2	2	2	2	49	1008025-2	BUSHING, INSULATOR	
2	2	2	2	48	1008021-1	BUSHING, INSULATOR	
2	2	2	2	47	1008021-2	BUSHING, INSULATOR	
2	2	2	2	46	1008024-3	WASHER, INSULATOR	
2	2	2	2	45	1008024-4	WASHER, INSULATOR	
2	2	2	2	44	1008071-5	WASHER, FLAT	
2	2	2	2	43	1008024-1	WASHER, INSULATOR	
2	2	2	2	42	1008071-2	WASHER, FLAT	
		AR	AR	41	1006757-8	WIRE, ELECTRICAL	X
		AR	AR	40	1006776-22	INSULATION SLEEVING, ELECTRICAL	X
AR	AR	AR	AR	39	1006757-1	WIRE, ELECTRICAL	
1	1	1	1	38	1010328	TRANSFORMER	
1			1	37	1010327	TRANSFORMER	
1	1	1	1	36	1010277-9	REACTOR	
1	1	1	1	35	1010277-8	REACTOR	
1	1	1	1	34	1010273-1	TRANSISTOR	
1	1	1	1	33	1010437	TRANSISTOR	
1	1	1	1	32	1010271	TRANSISTOR	
1	1	1	1	31	1010269-1	TRANSISTOR	
1	1	1	1	30	1010270	TRANSISTOR	
1	1	1	1	29	1008813-1	TRANSISTOR	
1	1	1	1	28	1010252-1	TRANSISTOR	
1			1	27	1010286-9	SEMICONDUCTOR DEVICE, DIODE	
2	2	2	2	26	1010372-15	SEMICONDUCTOR DEVICE, DIODE	
6	6	6	6	25	1010392-1	SEMICONDUCTOR DEVICE, DIODE	
1	1	1	1	24	1010320-11	CAPACITOR, FIXED	
1	1	1	1	23	1010279-220	CAPACITOR, FIXED	
1	1	1	1	22	1010264-9	CAPACITOR, FIXED	
2	2	2	2	21	1010278-39	RESISTOR, FIXED	
2	2	2	2	20	1010377-66	RESISTOR, FIXED	
1	1	1	1	19	1010364-43	RESISTOR, FIXED	
1	1	1	1	18	1010364-719	RESISTOR, FIXED	
1	1	1	1	17	1010364-465	RESISTOR, FIXED	
1	1	1	1	16	1010364-635	RESISTOR, FIXED	
4	4	4	4	15	1010364-443	RESISTOR, FIXED	
1	1	1	1	14	1006760-35	RESISTOR, FIXED	
1	1	1	1	13	'1006750-40	RESISTOR, FIXED	
1	1	1	1	12	'1006750-53	RESISTOR, FIXED	
2	2	2	2	11	'1006750-51	RESISTOR, FIXED	
1	1	1	1	10	'1006750-70	RESISTOR, FIXED	
1	1	1	1	9	'1006750-44	RESISTOR, FIXED	
1	1	1	1	8	'1006750-60	RESISTOR, FIXED	
1	1	1	1	7	'1006750-48	RESISTOR, FIXED	
2	2	2	2	6	'1006750-80	RESISTOR, FIXED	
5	5	5	5	5	'1006750-73	RESISTOR, FIXED	
AR	AR	AR	AR	4	1006776-21	INSULATION SLEEVING, ELECTRICAL	
1	1	1	1	3	1015687	INSULATOR	
1	1	1	1	2	1015686	INSULATOR	
1	1	1	1	1	1015685	HEATSINK	
							
X	X	X	X	REF	X	PROOFED	X
