-021	-011	-000	FIND	DRAWING	TITLE
1	1	1	5	MS16555-602	PIN, STRAIGHT, HEADLESS (DOWEL)
2	2	2	4	2011196-14	PIN, TAPER, THREADED
3	3	3	3	1011625-30	SCREW, CAP. SOC HD – SELF-LOCKING
1	1	1	2	6011018	HOUSING, PRISM
1	1	1	1	6011017	MOUNT, PRISM
					
					PROOFED
