-41	-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
1				2004743-003	PANEL, INDICATOR	9	
	1			2004743-002	PANEL, INDICATOR	6	
		1		2004699-001	FRAME INDICATOR COVER	7	
			AR	2004743-001	PANEL, INDICATOR	6	
AR	AR	AR	AR	1006341	ADHESIVE, SEALING	5	X
			1	1006338-002	ADHESIVE, SILICONE	4	
			1	2004698	PANEL, INDICATOR	3	
1	1	1	1	2004141	GASKET, INDICATOR COVER	2	
				2004699-000	FRAME, INDICATOR COVER	1	
