0	DRAWING	TITLE	FIND	STRIKE
X	1010231	WIRING DIAGRAM	REF	
				
1	1015759	WIRE LIST A A	25	
1	1015763	WIRING HARNESS D	24	
1	1015762	WIRING HARNESS C	23	
1	1015761	WIRING HARNESS B	22	
1	1015760	WIRING HARNESS A	21	
2	MS21045CO4	NUT, SELF LOCKING HEX	20	
2	MS16995-11	SCREW, CAP, SOCKET HEAD	19	
2	MA16995-10	SCREW, CAP, SOCKET HEAD	18	
21	MS171433	PIN SPRING	17	X
21	1004207	DRIVE CYLINDER	16	X
1	1008099-2	WASHER	15	
42	1004206	WASHER THRUST	14	X
1	1008098	SCREW, SOCKET HEAD	13	
21	1008172	SCREW, JACK	12	X
1	1001317	RETAINER, JACK SCREW	11	
2	1010620-5	PIN, GUIDE	10	
20	MS16556-604	PIN, GUIDE	9	
1	1010622-1	CONNECTOR, RECEPTACLE	8	
60	1010383	INSULATOR, WRAPOST MALE	7	
60	1010382-1	CONTACT, BLADE EDGE CONNECTOR	6	
45	1006782-2	CONTACT, WRAPOST MALE MIN	5	
45	1006775	INSULATOR, WRAPOST MALE MIN	4	
232	1006781-2	CONTACT, WRAPOST FEMALE MIN	3	
232	1006774	INSULATOR, WRAPOST FEMALE MIN	2	
1	1008173	FRAME	1	
				
		PROOFED		
