FIND	STRIKE	0	DRAWING	TITLE	NOTE
1		12.44 INCHES	1006757-9	WIRE	
2	X	0.50 INCHES	1010847-4	WIRE	
3	X	0.50 INCHES	-2	WIRE	
4		4.50 INCHES	1010848-2	WIRE	
5		3.62 INCHES	-4	WIRE	
6		1	MS25036-44	TERMINAL, LUG	
7		AR	QQ-S-571 SN60	SOLDER (ES-2175 ALLOW)	
8		AR	QQ-S-571 TYPE AR	FLUX (ES-2175 TYPE 1 OR 2)	OR MIL-F-14256 (ES-2798)
					
			PROOFED		
