-031	-021	-011	DRAWING	TITLE	FIND
AR	AR		1012543-003	PAINT	10
AR	AR		1008952	PRIMER	9
AR			1008936-001	LACING TAPE	8
AR			1008937-005	TAPE, PRESSURE SENSITIVE ADHESIVE, ALUMINUM FOIL BACKED	7
	AR	AR	1012555-002	LACING TAPE	6
1	1		6007006-031	HEADER SUBASSEMBLY	5
1	1	1	1008833-001	RESISTOR TEMP SENSITIVE WAFER	4
AR	AR	AR	MIL-I-15126 TYPE MFT 2.5	MYLAR TAPE	3
1	1	1	6014523	LEAD SET	2
		1	6007006-021	HEADER SUBASSEMBLY	1
					
				PROOFED	
