-11	DRAWING	TITLE	FIND	STRIKE
X	2010733	SCHEMATIC	REF	
				
AR	1010848-2	WIRE, ELECTRICAL	99	
1	1006755-55	CAPACITOR	98	
1	1010372-1	DIODE	97	
1	1010374-5	RESISTOR	96	
1	1006750-73	RESISTOR	95	
1	1010277-6	INDUCTOR	94	
4	1010367	CHOPPER	93	
6	1010397-1	TRANSISTOR	92	
2	1010357-1	TRANSISTOR	91	
1	1010342	TRANSISTOR	90	
1	1010269-2	TRANSISTOR (MATCHED PAIR)	89	
1	1008815-11	DIODE	88	
1	1008815-9	DIODE	87	
4	1010392-1	DIODE	86	
2	1010372-11	DIODE	85	
1	1010829-10	DIODE	84	
2	1010359-5	CAPACITOR	83	
1	1010279-219	CAPACITOR	82	
1	1010279-216	CAPACITOR	81	
1	1010279-110	CAPACITOR	80	
1	1010264-37	CAPACITOR	79	
1	1010264-21	CAPACITOR	78	
1	1010264-18	CAPACITOR	77	
2	1010264-13	CAPACITOR	76	
1	1010264-1	CAPACITOR	75	
4	1006755-79	CAPACITOR	74	
5	1006755-69	CAPACITOR	73	
4	1006755-21	CAPACITOR	72	
1	1006755-15	CAPACITOR	71	
1	1006755-13	CAPACITOR	70	
2	1006755-10	CAPACITOR	69	
1	1006755-2	CAPACITOR	68	
1	1010604-16	RESISTOR	67	
1	1010369-138	RESISTOR	66	
2	10106750-70	RESISTOR	65	
1	1010364-765	RESISTOR	64	
1	1010364-727	RESISTOR	63	
1	1010364-709	RESISTOR	62	
1	1010364-707	RESISTOR	61	
4	1010364-693	RESISTOR	60	
1	1010364-711	RESISTOR	59	
3	1010364-677	RESISTOR	58	
1	1010364-345	RESISTOR	57	
1	1010364-669	RESISTOR	56	
1	1010364-667	RESISTOR	55	
1	1010364-635	RESISTOR	54	
1	1010364-619	RESISTOR	53	
1	1010364-527	RESISTOR	52	
1	1010364-675	RESISTOR	51	
1	1010364-157	RESISTOR	50	
1	1006788-22	RESISTOR	49	
1	1006750-83	RESISTOR	48	
2	1006750-80	RESISTOR	47	
1	1006750-78	RESISTOR	46	
1	1006750-72	RESISTOR	45	
1	1006750-67	RESISTOR	44	
3	1006750-63	RESISTOR	43	
1	1006750-56	RESISTOR	42	
1	1006750-55	RESISTOR	41	
2	1006750-60	RESISTOR	40	
1	1006750-53	RESISTOR	39	
1	1006750-52	RESISTOR	38	
4	1006750-48	RESISTOR	37	
1	1006750-47	RESISTOR	36	
1	1006750-44	RESISTOR	35	
1	1010369-92	RESISTOR	34	
1	1006750-42	RESISTOR	33	
3	1006750-39	RESISTOR	32	
1	1006750-36	RESISTOR	31	
3	1006750-32	RESISTOR	30	
3	1006750-30	RESISTOR	29	
1	1006750-19	RESISTOR	28	
1	1006750-12	RESISTOR	27	
1	1006750-10	RESISTOR	26	
1	1010759	TRANSFORMER	25	
2	1010753	TRANSFORMER	24	
1	1010752	TRANSFORMER	23	
AR	1010807-17	WIRE, SHIELDED	22	
AR	MIL-I-15126	INSUL. TAPE – TYPE MFT 2.5, 1/2” WIDE	21	
			20	
AR	1006776-21	INSULATION SLEEVING	19	
AR	1006776-20	INSULATION SLEEVING	18	
			17	
AR	1006757-1	WIRE, ELECTRICAL	16	
1	2008265	SHIELD	15	
1	2008093-000	TERMINAL, THREADED	14	
2	MS20341-10B	NUT, HEX	13	
4	1008071-2	WASHER, FLAT	12	
4	1008024-1	WASHER, INSULATOR	11	
2	2008020-1	BUSHING, INSULATOR	10	
6	1008161-3	SCREW, CAP, SLOTTED HEAD	9	
3	1015135-019	SPACER, NYLON	8	
2	1008540-8	GASKET, CONNECTOR	7	
1	1008540-15	GASKET, CONNECTOR	6	
1	2010732	WIRING BOARD BOTTOM	5	
1	2010731	WIRING BOARD TOP	4	
31	1006782-5	CONTACT, WRAPOST – MALE MINAT	3	
31	1006775	INSULATOR, WRAPOST – MALE MINAT	2	
1	2008175	FRAME	1	
				
X	X	PROOFED	REF	X
