-81	-71	-61	-51	-41	-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
1	1	1	1	1	1	1	1	1000220-2 THRU 4	CLAMP, CABLE	13	
	1		1		1		1	6014514-011	HOUSING, ASSY	12	
	1		1		1		1	6014513-011	COVER, HOUSING ASSY	11	
	1		1		1		1	6014510-011	BRACKET, MTG ASSY	10	
1	1	1	1	1	1	1	1	1010914-2	TRANSFORMER	9	
3	3	3	3	3	3	3	3	1010904-2	SWITCH	8	
1	1	1	1	1	1	1	1	1014588	WHEEL, POTENTIOMETER	7	
1	1	1	1	1	1	1	1	1010901-1	SWITCH	6	
	1					1	1	1010916-1	RESISTOR – VARIABLE	5	
						1	1	1010273-1	TRANSISTOR	4	X
										3	
1	1	1	1	1	1	1	1	1010929-113	CONNECTOR	2	
2	2	2	2	2	2	2	2	1010777-1	DIODE	1	
											
									PROOFED		
