-011	DRAWING	TITLE	FIND
X	1010022	SCHEMATIC	REF
			
1	1008272-002	STRIP, REINFORCING	27
1	-001	STRIP, REINFORCING	26
1	1010359-29	CAPACITOR	25
1	1010397	TRANSISTOR	24
1	1010345-1	TRANSISTOR	23
1	1010252	TRANSISTOR	22
1	SEE DRAWING NOTE 10	RESISTOR	21
1	1010369-98	RESISTOR	20
1	-96	RESISTOR	19
2	1010364-501	RESISTOR	18
2	1010321-398	RESISTOR	17
2	1010312-030	RESISTOR	16
2	1006750-64	RESISTOR	15
2	-63	RESISTOR	14
1	-60	RESISTOR	13
2	1010265-012	DIODE	12
1	1010372-20	DIODE	11
1	-1	DIODE	10
1	1006777-24	CAPACITOR	9
1	1010320-13	CAPACITOR	8
2	1008043	SPACER	7
AR	1006776-22	INSULATION SLEEVING ELECTRICAL	6
AR	1006787-2	WIRE, ELECTRICAL, NICKEL, IRON	5
AR	1006757-1	WIRE, ELECTRICAL, NICKEL, RECT	4
1	1008048	WIRING BOARD, BOTTOM	3
1	1008047	WIRING BOARD, TOP	2
1	1007211-011	HOUSING ASSY	1
			
		PROOFED	
