FIND	-11	DRAWING	TITLE
10	3	2011952	SCREW, SELF LOCKING, SET
9	3	2011584	ROD, ILLUMINATING
8	3	2011633	SLEEVE,SPLIT, ILLUMINATING ROD
7	1	2011944	WASHER, SPRING
6	1	2012513	RING, LOCKING
5	1	2012426	RETICLE ASSY OF, SXT
4	1	2011796	LENS HOLDER ASSEMBLY, SEXTANT TELESCOPE
3			
2	1	2011304	SPACER
1	1	2011797	TELESCOPE TUBE ASSY
			
			PROOFED
