0	DRAWING	TITLE	FIND
7/16 LONG	1012534-909	INS, SLEEVING, ELEC, SHRINK	3
15.0 INCHES	1010416-1	WIRE, ELEC, STRD, INS, BLACK	2
1	2008237	CONTACT, ELECTRICAL PIN	1
			
		PROOFED	
