-11	DRAWING	TITLE	FIND	STRIKE
X	1006155	TRAY A LEFT TO RIGHT WIRING	REF	
X	1006157	HANDWIRING, RH TRAY	REF	
X	1006156	HANDWIRING, LH TRAY	REF	
X	1006152	WIREWRAP CARD RH TRAY	REF	
X	1006151	WIREWRAP CARD LH TRAY	REF	
2	1004622-2	SPACER	40	
2	1004622-4	SPACER	39	
AR	1006806-2	TAPE, INSULATION	38	
AR	1006806-7	TAPE, INSULATION	37	
4	1004625	INSULATOR	36	
2	1004624	STIFFNER	35	
AR	1006879	COMPOUND, SILICON	34	
AR	1006776-21	INSULATION, SLEEVING	33	
AR	QQ-W-343 TYPE S	WIRE, COATED, SOFT, 22 GAGE	32	
12	1004623	SHIM	31	
AR	1006732-2	WIRE, ELECTRICAL	30	
16	1003195	BUS, STRIP ASSY	29	
2	1003194	BUS, STRIP ASSY	28	
2	1003193	BUS, STRIP ASSY	27	
2	1003192	BUS, STRIP ASSY	26	
2	1003191	BUS, STRIP ASSY	25	
4	1003190	BUS, STRIP ASSY	24	
2	1004621	WIRE HOLD DOWN, LH	23	
2	1004620	WIRE HOLD DOWN, RH	22	
2	1004616	COMB, WIRE	21	
6	MS24693-PC3	SCREW, FLAT	20	
6	MS24693-PC8	SCREW, FLAT	19	
1	1004261	SCREW, FLAT	18	
1	1004254	RETAINER, JACK SCREW	17	
1	1004262	PLATE, BACKING	16	
2	NAS1402-2	SCREW, PAN HD	15	
4	1008145	SPRING, PIN	14	
8	1004546-1	WASHER, FLAT	13	
4	1004257	SCREW, EJECTION	12	
4	1004256	DRIVE CYLINDER, EJECTION SCREW	11	
6	1004249	PIN, STEP	10	
4	MS35333-69	WASHER, LOCK, FLAT	9	
4	1004615-2	TERMINAL, THREADED	8	
AR	1006732-1	WIRE, ELECTRICAL, INS	7	
2	1004546-3	WASHER, FLAT	6	
AR	MIL-T-713 TYPE P, CL 2	TAPE, LACING AND TYING	5	
AR	1006732-3	WIRE, ELECTRICAL INS	4	
2	1004250	SCREW	3	
1	1003137	TRAY A SUB ASSEMBLY RIGHT HAND	2	
1	1003136	TRAY A SUB ASSEMBLY LEFT HAND	1	
				
X	X	PROOFED	REF	X
