-11	DRAWING	TITLE	FIND	STRIKE
X	1006086	SCHEMATIC	REF	
				
2	MS16633-4015	RING, RETAINING, EXTERNAL “E”	36	
2	1004546-3	WASHER, FLAT	35	
AR	1006776-22	INSULATION, SLEEVING	34	
AR	1006757-1	WIRE, ELECTRICAL	33	
AR	1006787-2	WIRE, ELECTRICAL	32	
AR	1006879	COMPOUND, THERMOCONDUCTIVE	31	
1	1003520-2	TRANSISTOR POTTED	30	
24	1003520-1	TRANSISTOR POTTED	29	
13	1003089-1	TRANSISTOR POTTED	28	
3	1006755-32	CAPACITOR	27	
4	1006755-79	CAPACITOR	26	
1	1010406-11	INDUCTOR	25	
10	1010406-17	INDUCTOR	24	
6	1010406-7	INDUCTOR	23	
48	1006751	DIODE	22	
13	1006788-8	RESISTOR	21	
10	SEE NOTE 16	RESISTOR	20	
12	1006750-49	RESISTOR	19	
13	1006750-43	RESISTOR	18	
2	1006750-39	RESISTOR	17	
14	1006750-32	RESISTOR	16	
1	1006750-28	RESISTOR	15	
12	1006750-15	RESISTOR	14	
1	1003161	MATRIX ASSY	13	
1	1004247-4	INSULATOR	12	
1	1004247-3	INSULATOR	11	
1	1004247-2	INSULATOR	10	
1	1004247-1	INSULATOR	9	
8	1004117	PLUG,KEYING	8	X
2	1008145	PIN, SPRING	7	X
2	1004546-1	WASHER, FLAT	6	
2	1004579-1	SCREW, JACKING	5	
2	1004207	DRIVE CYLINDER	4	X
4	1006273-11	SCREW, CAP, BUTTON HEAD	3	
1	1003112	COVER	2	
1	1003160	HEADER HOUSING ASSEMBLY	1	
				
X	X	(PROOFED)	REF	X
