-11	DRAWING	TITLE	FIND	STRIKE
X	1006118	SCHEMATIC	REF	
				
				
				
				
1	1006750-35	RESISTOR	30	
9	1006750-43	RESISTOR	29	
1	1006750-56	RESISTOR	28	
			27	
AR	1006757-1	WIRE, ELECTRICAL .010 X .020	26	
AR	1006757-8	WIRE, ELECTRICAL	25	
AR	1006776-22	INSULATION SLEEVING	24	
8	1006762-2	TRANSFORMER	23	
3	1006752	TRANSISTOR	22	
10	1006753	TRANSISTOR	21	
8	1006769	SENSE AMPLIFIER	20	
10	1006751	DIODE	19	
1	1006838	DIODE	18	
3	1006755-69	CAPACITOR	17	
1	1006750-49	RESISTOR	16	
1	SEE NOTE 10	RESISTOR	15	
1	SEE NOTE 10	RESISTOR	14	
			13	
1	SEE NOTE 10	RESISTOR	12	
2	1006750-15	RESISTOR	11	
2	1006750-39	RESISTOR	10	
17	1006750-32	RESISTOR	9	
8	SEE NOTE 10	RESISTOR	8	
27	1006750-24	RESISTOR	7	
1	1003144-1	MATRIX ASSY	6	
1	1003144-2	MATRIX ASSY	5	
8	1004242	INSULATOR	4	
1	1004239-2	INSULATOR	3	
1	1004239-1	INSULATOR	2	
1	1004222	HOLDER COMPONENT	1	
				
X	X	PROOFED	REF	X
