-21	-11	DRAWING	TITLE	FIND
X		2005935	SCHEMATIC	REF
	X	2005012	SCHEMATIC	REF
				
192		1006750-30	RESISTOR	4
AR	AR	1006757-2	WIRE, ELECTRICAL	3
	192	1006750-32	RESISTOR	2
1	1	2004064	COMPONENT BLOCK	1
