FIND	0	DRAWING	TITLE
1	108'	1010807-4	WIRE
2	8'	-5	WIRE
3	14'	-6	WIRE
4	4'	-7	WIRE
5	4'	-8	WIRE
6	4'	-9	WIRE
7	2'	-11	WIRE
8	26'	-15	WIRE
9	6'	-16	WIRE
10	214'	-22	WIRE
11	28'	-27	WIRE
12	18	1010490-114	INSULATION SLEEVING, HEAT SHRINK
13	AR	1006776-99	INSULATION SLEEVING
14	6	1010490-112	INSULATION SLEEVING, HEAT SHRINK
15	AR	1006776-147	INSULATION SLEEVING
16	42	1010862	BUSHING, SLEEVE
17	AR	QQ-S-571 SN60 WRAP 2	SOLDER
18	AR	QQ-S-571 SN60 WS	SOLDER
19	AR	MIL-F-14256 TYPE A	FLUX
			
			PROOFED
