-11	DRAWING	TITLE	FIND	STRIKE
X	1009558	WIRING DIAGRAM	REF	
				
1	1008553	GASKET, CONNECTOR MIN. TRAY	28	
1	1008552	GASKET, CONNECTOR TRAY	27	
1	1015748	WIRE LIST AA	26	
1	1015747	WIRING HARNESS E	25	
1	1015746	WIRING HARNESS D	24	
1	1015745	WIRING HARNESS C	23	
1	1015744	WIRING HARNESS B	22	
1	1015743	WIRING HARNESS A	21	
3	MS16995-10	SCREW CAP SOCKET HEAD	20	
1	1001317	RETAINER, JACK SCREW	19	
1	1008098	SCREW, SOCKET HEAD	18	
1	1008099-2	WASHER	17	
2	MS21045CO4	NUT SELF-LOCKING HEX	16	
2	1010620-5	PIN, GUIDE	15	
24	1008172	SCREW, JACK	14	X
24	1004207	DRIVE CYLINDER	13	X
24	MS171433	PIN SPRING	12	X
48	1004206	WASHER, THRUST	11	X
2	MS16995-11	SCREW, CAP, SOCKET HEAD	10	
1	1010622-1	CONNECTOR RECEPTACLE	9	
22	MS16556-604	PIN GUIDE	8	
45	1006775	INSULATOR, WRAPOST MALE MIN	7	
45	1006782-2	CONTACT WRAPOST MALE MIN	6	
60	1010383-1	INSULATOR, WRAPOST, MALE	5	
60	1010382-1	CONTACT BLADE EDGE CONN	4	
226	1006781-2	CONTACT, WRAPOST, FEMALE MIN	3	
226	1006774	INSULATOR, WRAPOST, FEMALE MIN	2	
1	1008408	FRAME	1	
				
		PROOFED		
