-031	-021	-011	FIND	DRAWING	TITLE
2			8	1021320-001	CROWN HALF, UPPER
AR			7	1012543-001	COATING KIT, LIGHT DIFFUSING
AR			6	1008910	ENAMEL – EPOXY – AMINE
AR	AR		5	1008903	ADHESIVE, EPOXY
2	2		4	1021358-021	RETAINER ASSY, DUST COVER
4	4	4	3	1021322-001	PLUG
1	1	1	2	1021329	CROWN HALF, LOWER
	2	2	1	1021320-000	CROWN HALF, UPPER
					
					PROOFED
