FIND	0	DRAWING	TITLE
21	AR	1010878	LUBRICATING OIL HYDROCARBON
20	6	1011625-28	SCREW, CAP, HEX SOC HD
19	1	6011128	HOUSING, ADAPTER, EYEPIECE
18	1	MS16995-2	SCREW, CAP, HEX SOC HD
17	3	NAS1352CO4LL6	SCREW, CAP, HEX SOC HD, SELF LOCKING
16	14	NAS1352CO2LL4	SCREW, CAP, HEX SOC HD, SELF LOCKING
15	1	2011355-2	CLAMP, COLLAR
14	1	6011054	RING, LOCKING
13	2	6011055	SPACER
12	1	MS16624-4031	RING, RETAINING
11	2	1010356-13	BEARING, BALL, ANNULAR (FLANGED)
10	1	6011035	SHAFT, WORM
9	1	6011108	PLATE, BEARING, RETAINER, OUTER RACE
8	1	6011107	PLATE, BEARING, RETAINER, INNER RACE
7	1	6011109	SPACER, BEARING
6	1	1012518-001	BEARING, BALL, ANNULAR (DUPLEX DB)
5			
4			
3	1	6011839	RETICLE AND HOLDER ASSY
2	1	6011105	GEAR, DRIVE, RETICLE
1	1	6011106	HOUSING, WORM & GEAR (EYEPIECE)
			
			PROOFED
