0	TITLE	DRAWING	FIND	NOTE
AR	SOLDER	QQ-S-571 SN60 WARP2	2	
1	BOARD	1001624-1	1	The original drawing does not list a p/n for this item.
X	PRINTED CIRCUIT PATTERN	1001625	REF	
				
	PROOFED			
