-21	-11	DRAWING	TITLE	FIND
1		2007271-021	HEADER ASSEMBLY	15
1	1	1004260-197	NAMEPLATE	14
25	25	2004148-003	WASHER, FLAT	13
25	25	1006783-19	SCREW, BUTTON HEAD, HEX SOCKET	12
1	1	2008539	COVER	11
1	1	2008540	COVER PLATE	10
13	13	1010977-001	SCREW, CAP, HEX SOCKET HEAD	9
13	13	2008033-1	WASHER, THRUST	8
1	1	2007241-011	120V PIPA SUPPY AND IRIG TEMP (FQ) SIG COND	7
1	1	2007240-011	OPTICS AND ATTITUDE ERROR SIG COND	6
1	1	2007231-011	IRIG AND PIPA SIG COND	5
1	1	2007230-011	GIMBAL RESOLVER SIG COND	4
1	1	2007233-011	DAC PIPA TEMP AND 2.5V BIAS SIG COND	3
1	1	2007239-011	TORQUE MTR & IX SINE GIMBAL RSVR SIG COND	2
	1	2007271-011	HEADER ASSEMBLY	1
