-21	-11	DRAWING	TITLE	FIND
X	X	1010054	SCHEMATIC	REF
AR		SEE DRAWING NOTE 15	MOISTUREPROOFING	9
1	1	1008549	GASKET, CONNECTOR – MINIATURE	8
AR	AR	1006776-20	INSULATION SLEEVING	7
4	4	1006782-4	CONTACT, WRAPOST MALE MINIATURE	6
5	5	1006782-3	CONTACT, WRAPOST MALE MINIATURE	5
6	6	1006782-2	CONTACT, WRAPOST MALE MINIATURE	4
15	15	1006775	INSULATOR, WRAPOST MALE MINIATURE	3
1	1	1007075	HEATSINK	2
1	1	1007071	CDU ZEROING & LOCK RELAYS	1
				
			PROOFED	
