-11	DRAWING	TITLE	FIND
X	2010018	SCHEMATIC	REF
			
			
AR		WIRE, ELECTRICAL	74
1	1010848-2	GASKET	73
1	1008540-15	GASKET	72
1	1008540-7	TERMINAL, THREADED	71
1	2008093	TRANSFORMER	70
3	1010335	TRANSISTOR	69
1	1010684-1	TRANSISTOR	68
5	1010675	TRANSISTOR	67
1	1010652-3	TRANSISTOR	66
4	1010357-1	DIODE	65
5	1010385	DIODE	64
1	1010372-34	DIODE	63
1	1006777-12	CAPACITOR	62
1	1006777-34	CAPACITOR	61
2	1006777-27	CAPACITOR	60
4	1006777-24	CAPACITOR	59
1	1006777-21	CAPACITOR	58
1	1006777-16	CAPACITOR	57
2	1006777-13	CAPACITOR	56
1	1006777-7	CAPACITOR	55
2	1006777-34	CAPACITOR	54
2	1006777-12	CAPACITOR	53
2	1006755-79	CAPACITOR	52
3	1006755-69	CAPACITOR	51
6	1006755-65	CAPACITOR	50
1	1006755-57	CAPACITOR	49
2	1006755-55	CAPACITOR	48
2	1006755-51	CAPACITOR	47
2	1010377-109	RESISTOR	46
1	1010377-108	RESISTOR	45
1	1010377-107	RESISTOR	44
2	1010377-51	RESISTOR	43
1	1010369-152	RESISTOR	42
2	1010369-97	RESISTOR	41
2	1010369-96	RESISTOR	40
2	1010369-92	RESISTOR	39
2	1010369-90	RESISTOR	38
1	1006750-73	RESISTOR	37
1	1006750-70	RESISTOR	36
6	1006750-67	RESISTOR	35
6	1006750-66	RESISTOR	34
2	1006750-63	RESISTOR	33
3	1006750-60	RESISTOR	32
6	1006750-56	RESISTOR	31
2	1006750-55	RESISTOR	30
2	1006750-50	RESISTOR	29
1	1006750-49	RESISTOR	28
2	1006750-48	RESISTOR	27
2	1006750-47	RESISTOR	26
3	1006750-46	RESISTOR	25
1	1006750-45	RESISTOR	24
1	1006750-44	RESISTOR	23
2	1006750-43	RESISTOR	22
1	1006750-40	RESISTOR	21
2	1006750-39	RESISTOR	20
1	1006750-36	RESISTOR	19
3	1006750-32	RESISTOR	18
1	1006750-31	RESISTOR	17
1	1006750-25	RESISTOR	16
1	1006750-17	RESISTOR	15
1	1006750-12	RESISTOR	14
4	1006750-8	RESISTOR	13
			12
AR	1006776-21	INSULATION SLEEVING	11
AR	1006776-20	INSULATION SLEEVING	10
			9
AR	1006757-1	WIRE, ELECTRICAL	8
6	1008161-3	SCREW, CAP SLOTTED HD SPECIAL	7
3	1015135-11	SPACER, INSULATED	6
23	1006782-4	CONTACT, WRAPOST MALE MINAT	5
23	1006775	INSULATOR, WRAPOST MALE MINAT	4
1	2008015	WIRING BOARD, BOTTOM	3
1	2008016	WIRING BOARD, TOP	2
1	2008006	FRAME	1
