0	TITLE	DRAWING	FIND
AR	LUBRICANT, DOW CORNING NO. 55	MIL-L-4343	4
1	PACKING, PREFORM	1000159-6	3
1	COUPLING QUICK DISC.	1010797-2	2
1	HOSE, FLEX. ASSY	1001468	1
			
	PROOFED		
