-021	-011	FIND	DRAWING	TITLE
1		21	6010666	SHELL, ELEC. CONN. SIDE
4		20	MS171433	PIN, SPRING
4		19	2004148-010	WASHER
4		18	1004207	DRIVE CYLINDER
2		17	1008827-003	SCREW, CAPTIVE
6		16	2010768	GASKET
2		15	2010767-002	WASHER, STEP
4		14	-001	WASHER, STEP
4		13	2010782-001	SCREW, JACK
1		12	6010665	SHELL, ELECTRICAL CONN TOP
1		11	6010663	BASE, ELECTRICAL CONNECTOR
	6	10	1004546-003	WASHER, FLAT
	4	9	-001	WASHER, FLAT
	4	8	MS16633-4015	RETAINING, RING
	4	7	1004579-3	SCREW, JACKING
	2	6	1008827-1	SCREW, CAP, SOC HD, CAPTIVE
228	228	5	1010956-1	INSULATOR, BUSHING, WRAPPOST
12	12	4	1006783-18	SCREW, BUTTON HD
	1	3	6010651	BASE, ELEC, CONN (INSEP ASSY)
	1	2	6014530	SHELL, SIDE, ELEC, CONN (INSEP ASSY)
	1	1	6014529	SHELL, TOP, ELEC, CONN (INSEP ASSY)
				
				PROOFED
