-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
X			2005925	SCHEMATIC	REF	
	X	X	2005005	SCHEMATIC	REF	
28			2004183-001	DIODE	25	
28			2004184-004	TRANSISTOR, POTTED	24	
4	4		NAS620A-2	WASHER, FLAT	23	
2	2		2004984-003	WASHER, FLAT	22	
2	2		2004984-001	WASHER, FLAT	21	
4	4	4	1006783-10	SCREW, BUTTON HD	20	
		4	NAS620C-2	WASHER, FLAT	19	
1	1	1	2003031-011	MATRIX ASSEMBLY	18	
	56	56	2004004-001	TRANSISTOR, POTTED	17	
2	2	2	MS16633-4015	RING, RETAINING, EXTERNAL, E	16	
		2	1004546-3	WASHER, FLAT	15	
		2	1004546-1	WASHER, FLAT	14	
		4	1000093-3	SCREW, BUTTON HD	13	X
2	2	2	1004579-1	SCREW, JACKING	12	
1	1	1	2004039	TERMINAL, THREADED	11	
28	28	28	1003084-011	ASSEMBLY K CORE	10	
AR	AR	AR	1006757-8	WIRE, ELECTRICAL	9	
AR	AR	AR	1006757-1	WIRE, ELECTRICAL	8	
AR	AR	AR	1006776-22	INSULATION, SLEEVING	7	
AR	AR	AR	1006776-21	INSULATION, SLEEVING	6	
	28	28	2004103-001	DIODE	5	
1	1	1	2004041	INSULATOR B	4	
1	1	1	2004040-011	INSULATOR A	3	
1	1	1	2004032	COVER	2	
1	1	1	2003033-011	HEADER HOUSING ASSY	1	
						
X	X	X	X	PROOFED	REF	X
