0	TITLE	DRAWING	FIND	NOTE
1	TUBE, INSULATION	1001519	5	
AR	LUBRICANT, DOW CORNING NO. 55	MIL-G-4343	4	The original drawing called out MIL-L-4343, but I think this is a mistaken reference to MIL-G-4343.
1	PACKING, PREFORM	1000159-6	3	
1	COUPLING QUICK DISC.	1010797-2	2	
1	HOSE, FLEX. ASSY.	1001467	1	
				
		PROOFED		
