-11	FIND	DRAWING	TITLE
X	REF	1010243	SCHEMATIC
			
AR	61	MIL-I-15126 TYPE MFT 2.5 ½ IN WIDE	INSUL TAPE
14	60	1010397-1	TRANSISTOR
2	59	1010376-3	TRANSISTOR
12	58	1010367	TRANSISTOR
3	57	1010466	TRANSFORMER
6	56	1010324	TRANSFORMER
6	55	1010315-1	TRANSFORMER
8	54	1008832	TRANSFORMER
6	53	1010364-769	RESISTOR
6	52	-707	RESISTOR
2	51	-693	RESISTOR
12	50	1010311-315	RESISTOR
6	49	-291	RESISTOR
2	48	-203	RESISTOR
10	47	-126	RESISTOR
1	46	-80	RESISTOR
1	45	-51	RESISTOR
6	44	1010311 (SEE DRAWING NOTE 12)	RESISTOR
3	43	1010267-82	RESISTOR
4	42	1006750-80	RESISTOR
4	41	-73	RESISTOR
6	40	-68	RESISTOR
6	39	-65	RESISTOR
6	38	-56	RESISTOR
2	37	-54	RESISTOR
5	36	-43	RESISTOR
6	35	-36	RESISTOR
12	34	-25	RESISTOR
2	33	-20	RESISTOR
3	32	1010837-001	DIODE
2	31	1010372-4	DIODE
3	30	-3	DIODE
1	29	1010410-16	CAPACITOR
6	28	1010409 (SEE DRAWING NOTE 12)	CAPACITOR
1	27	1010409-25	CAPACITOR
6	26	-12	CAPACITOR
3	25	1010393-008	CAPACITOR
2	24	1010279-236	CAPACITOR
2	23	-114	CAPACITOR
3	22	-7	CAPACITOR
3	21	-5	CAPACITOR
3	20	1006755-15	CAPACITOR
6	19	-69	CAPACITOR
12	18	-34	CAPACITOR
6	17	-31	CAPACITOR
AR	16	1006776-22	INSULATION, SLEEVING, ELECTRICAL
AR	15	-21	INSULATION, SLEEVING, ELECTRICAL
AR	14	1010848-2	WIRE, ELECTRICAL
AR	13	1006757-1	WIRE, ELECTRICAL
1	12	1010779-12	CONNECTOR, RECEPTACLE, ELECTRICAL
1	11	2008093-002	TERMINAL THREADED
2	10	1010618-4	SCREW
4	9	1008161-4	SCREW
12	8	-1	SCREW
2	7	1008297	SPACER
6	6	1015135-014	SPACER
1	5	1008462	WIRING BOARD D
1	4	1008461	WIRING BOARD C
1	3	1008460	WIRING BOARD B
1	2	1008459	WIRING BOARD A
1	1	1008166	FRAME
			
			PROOFED
