0	TITLE	DRAWING	FIND
AR	TAPE	MIL-I-15126	6
AR	IMPREGNANT	1010687-1	5
AR	WIRE (LEADS)	1006711-13 AWG 30	4
AR	WIRE	1006711-21 AWG 39	3
AR	WIRE	1006711-22 AWG 41	2
1	CORE	1010689-1	1
			
	PROOFED		
