0	TITLE	DRAWING	FIND
AR	ADHESIVE	MIL-A-5092 TYPE II	4
1	CHANNEL	1000180	3
12	NUT, CLINCH FLUSH MOUNTED	1000076-1	2
1	GUIDE, WIRE, BRG HSG 15 & 16 X O.A.	1000169	1
			
	PROOFED		
