-11	DRAWING	TITLE	FIND	STRIKE
X	1006119	SCHEMATIC	REF	
				
1	1006750-35	RESISTOR	33	
1	1006750-43	RESISTOR	32	
1	1006750-56	RESISTOR	31	
3	1006750-39	RESISTOR	30	
AR	1006757-1	WIRE, ELECTRICAL, .010 X.020	29	
8	1006762-2	TRANSFORMER	28	
16	1010406-13	COIL	27	
8	1006769	SENSE AMPLIFIER	26	
3	1006755-69	CAPACITOR	25	
1	1006838	DIODE	24	
10	1006751	DIODE	23	
1	1006750-24	RESISTOR	22	
1	1006750-49	RESISTOR	21	
1	1006750-14	RESISTOR	20	X
18	1006750-24	RESISTOR	19	
8	SEE NOTE 10	RESISTOR	18	
1	1006760-20	RESISTOR	17	X
1	SEE NOTE 10	RESISTOR	16	
1	SEE NOTE 10	RESISTOR	15	
4	1006750-25	RESISTOR	14	X
2	1006750-15	RESISTOR	13	
1	1006750-23	RESISTOR	12	X
17	1006750-32	RESISTOR	11	
3	1006752	TRANSISTOR	10	
2	1006753	TRANSISTOR	9	
AR	1006757-8	WIRE, ELECTRICAL	8	
AR	1006776-22	INSULATION, SLEEVING	7	
1	1003143-1	MATRIX ASSY	6	
1	1003143-2	MATRIX ASSY	5	
8	1004242	INSULATOR	4	
1	1004224-2	INSULATOR	3	
1	1004224-1	INSULATOR	2	
1	1004223	HOLDER, COMPONENT	1	
				
X	X	(PROOFED)	REF	X
