-11	DRAWING	TITLE	FIND	STRIKE
X	2010122	SCHEMATIC	REF	
				
				
3	1006777-6	CAPACITOR	76	
3	1008815-9	DIODE	75	
5	1010837-001	DIODE	74	
1	1008815-11	DIODE	73	
2	1010829-11	DIODE	72	
12	1010397-1	TRANSISTOR	71	
2	1010376-3	TRANSISTOR	70	
12	1010367	TRANSISTOR	69	
2	1010342	TRANSISTOR	68	
6	1008845	TRANSFORMER	67	
8	1008842	TRANSFORMER	66	
7	1008832	TRANSFORMER	65	
1	1010410-17	CAPACITOR	64	
6	1010409-25	CAPACITOR	63	
4	1010409-11	CAPACITOR	62	
1	1010316-19	CAPACITOR	61	
3	1010279-9	CAPACITOR	60	
3	1010279-7	CAPACITOR	59	
3	1010279-4	CAPACITOR	58	
3	1010279-3	CAPACITOR	57	
2	1006755-182	CAPACITOR	56	
1	1006755-77	CAPACITOR	55	
12	1006755-69	CAPACITOR	54	
12	1006755-34	CAPACITOR	53	
6	1006755-31	CAPACITOR	52	
1	1010377-306	RESISTOR	51	
8	1010364-769	RESISTOR	50	
8	1010364-707	RESISTOR	49	
1	1010364-657	RESISTOR	48	
1	1010364-649	RESISTOR	47	
12	1010311-315	RESISTOR	46	
3	1010311-307	RESISTOR	45	
3	1010311-309	RESISTOR	44	
6	1010311-291	RESISTOR	43	
1	1010311-244	RESISTOR	42	
1	1010311-202	RESISTOR	41	
1	1010311-194	RESISTOR	40	
1	1010311-168	RESISTOR	39	
3	1010311-146	RESISTOR	38	
3	1010311-130	RESISTOR	37	
3	1010311-129	RESISTOR	36	
5	1010311-126	RESISTOR	35	
3	1010311-102	RESISTOR	34	
1	1010311-59	RESISTOR	33	
1	1006760-32	RESISTOR	32	
2	1010604-1	RESISTOR	31	
4	1006750-84	RESISTOR	30	
1	1006750-63	RESISTOR	29	
5	1006750-72	RESISTOR	28	
3	1006750-68	RESISTOR	27	
6	1006750-65	RESISTOR	26	
6	1006750-56	RESISTOR	25	
2	1006750-54	RESISTOR	24	
12	1006750-36	RESISTOR	23	
2	1006750-20	RESISTOR	22	
1	1006750-8	RESISTOR	21	
12	1006750-6	RESISTOR	20	
1	1006750-1	RESISTOR	19	
AR	1006776-21	INSULATION, SLEEVING, ELECT	18	
AR	1006776-20	INSULATION, SLEEVING, ELECT	17	
AR	1006757-1	WIRE, ELECTRICAL	16	
AR	1010848-2	WIRE, ELECTRICAL, INSULATED	15	
2	1008540-13	GASKET, CONNECTOR – MINIATURE	14	
1	1008540-5	GASKET, CONNECTOR – MINIATURE	13	
1	1008540-4	GASKET, CONNECTOR – MINIATURE	12	
35	1006782-16	CONTACT, WRAPOST – MALE, MINIATURE	11	
35	1006775	INSULATOR, WRAPOST – MALE, MINIATURE	10	
1	2008093-000	TERMINAL, THREADED	9	
6	1008161-1	SCREW, CAP, SLOTTED HEAD	8	
6	1015135-011	SPACER, NYLON	7	
3	1008168-3	SPACER, STUD	6	
1	2008491	WIRING BOARD D	5	
1	2008499	WIRING BOARD C	4	
1	2008489	WIRING BOARD B	3	
1	2008493	WIRING BOARD A	2	
1	2008476	FRAME	1	
				
X	X	PROOFED	REF	X
